"game","language","name","setCode","reason"
"POKEMON","en","Alternate Art Promos","PR","no_official_set_art_mapping"
"POKEMON","en","Blister Exclusives","BLE","no_official_set_art_mapping"
"POKEMON","en","Burger King Promos","BKP","no_official_set_art_mapping"
"POKEMON","en","First Partner Pack","FPP","no_official_set_art_mapping"
"POKEMON","en","Miscellaneous Cards & Products","MCAP","no_official_set_art_mapping"
"POKEMON","en","Pikachu World Collection Promos","PWCP","no_official_set_art_mapping"
"POKEMON","en","Professor Program Promos","PPP","no_official_set_art_mapping"
"POKEMON","en","First Partner Collection 2026","","no_official_set_art_mapping"
"POKEMON","en","Player Placement Trainer Promos","","no_official_set_art_mapping"
"POKEMON","en","MEE: Mega Evolution Energies","MEE","no_official_set_art_mapping"
"POKEMON","en","McDonald's Promos 2024","M24","no_official_set_art_mapping"
"POKEMON","en","Trick or Trade BOOster Bundle 2024","TTBB24","no_official_set_art_mapping"
"POKEMON","en","Battle Academy 2024","BA24","no_official_set_art_mapping"
"POKEMON","en","Trading Card Game Classic","CL","no_official_set_art_mapping"
"POKEMON","en","My First Battle","","no_official_set_art_mapping"
"POKEMON","en","McDonald's Promos 2023","M23","no_official_set_art_mapping"
"POKEMON","en","Trick or Trade BOOster Bundle 2023","TTBB23","no_official_set_art_mapping"
"POKEMON","en","Prize Pack Series Cards","","no_official_set_art_mapping"
"POKEMON","en","Trick or Trade BOOster Bundle","TTBB","no_official_set_art_mapping"
"POKEMON","en","McDonald's Promos 2022","M22","no_official_set_art_mapping"
"POKEMON","en","Battle Academy 2022","BA22","no_official_set_art_mapping"
"POKEMON","en","Battle Academy","BTA","no_official_set_art_mapping"
"POKEMON","en","McDonald's Promos 2019","M19","no_official_set_art_mapping"
"POKEMON","en","McDonald's Promos 2018","M18","no_official_set_art_mapping"
"POKEMON","en","World Championship Decks","WCD","no_official_set_art_mapping"
"POKEMON","en","SM Trainer Kit: Alolan Sandslash & Alolan Ninetales","SMK2","no_official_set_art_mapping"
"POKEMON","en","McDonald's Promos 2017","M17","no_official_set_art_mapping"
"POKEMON","en","Ash vs Team Rocket Deck Kit (JP Exclusive)","AVTR","no_official_set_art_mapping"
"POKEMON","en","SM Trainer Kit: Lycanroc & Alolan Raichu","SMK1","no_official_set_art_mapping"
"POKEMON","en","Deck Exclusives","PR","no_official_set_art_mapping"
"POKEMON","en","McDonald's Promos 2016","M16","no_official_set_art_mapping"
"POKEMON","en","League & Championship Cards","PR","no_official_set_art_mapping"
"POKEMON","en","XY Trainer Kit: Pikachu Libre & Suicune","PR","no_official_set_art_mapping"
"POKEMON","en","McDonald's Promos 2015","M15","no_official_set_art_mapping"
"POKEMON","en","Jumbo Cards","PR","no_official_set_art_mapping"
"POKEMON","en","XY Trainer Kit: Bisharp & Wigglytuff","PR","no_official_set_art_mapping"
"POKEMON","en","McDonald's Promos 2014","M14","no_official_set_art_mapping"
"POKEMON","en","XY Trainer Kit: Sylveon & Noivern","PR","no_official_set_art_mapping"
"POKEMON","en","McDonald's Promos 2012","M12","no_official_set_art_mapping"
"POKEMON","en","BW Trainer Kit: Excadrill & Zoroark","BLW","no_official_set_art_mapping"
"POKEMON","en","McDonald's Promos 2011","M11","no_official_set_art_mapping"
"POKEMON","en","HGSS Trainer Kit: Gyarados & Raichu","PR","no_official_set_art_mapping"
"POKEMON","en","Countdown Calendar Promos","CCP","no_official_set_art_mapping"
"POKEMON","en","DP Training Kit 1 Blue","PR","no_official_set_art_mapping"
"POKEMON","en","DP Training Kit 1 Gold","PR","no_official_set_art_mapping"
"POKEMON","en","DP Trainer Kit: Manaphy & Lucario","PR","no_official_set_art_mapping"
"POKEMON","en","EX Battle Stadium","BST","no_official_set_art_mapping"
"POKEMON","en","Kids WB Promos","KWBP","no_official_set_art_mapping"
"POKEMON","en","e-Reader Sample Cards","SAMPLE","no_official_set_art_mapping"
"POKEMON","ja","Pokemon Card Information Promotional cards","","no_jp_set_logo_mapping"
"POKEMON","ja","Unnumbered Promotional cards","","no_jp_set_logo_mapping"
"POKEMON","ja","Unnumbered World Championships","","no_jp_set_logo_mapping"
"POKEMON","ja","Vending Machine cards Series 1 (Blue)","","no_jp_set_logo_mapping"
"POKEMON","ja","Vending Machine cards Series 2 (Red)","","no_jp_set_logo_mapping"
"POKEMON","ja","Vending Machine cards Series 3 (Green)","","no_jp_set_logo_mapping"
"POKEMON","ja","World Hobby Fair","","no_jp_set_logo_mapping"
"POKEMON","ja","64 Mario Stadium Best Photo Contest","","no_jp_set_logo_mapping"
"POKEMON","ja","Battle Road","","no_jp_set_logo_mapping"
"POKEMON","ja","CoroCoro Promotional Cards","","no_jp_set_logo_mapping"
"POKEMON","ja","Elementary School Competition","","no_jp_set_logo_mapping"
"POKEMON","ja","How I Became a Pokemon Card","","no_jp_set_logo_mapping"
"POKEMON","ja","Limited Collection Master Battle Set","","no_jp_set_logo_mapping"
"POKEMON","ja","Pokemon Card Design Contest","","no_jp_set_logo_mapping"
"POKEMON","ja","Pokemon Card Fan Club","","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","Limited Collection Master Battle Set","","no_jp_set_logo_mapping"
"POKEMON","ja","Start Deck 100 Battle Collection","","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","Start Deck 100 Battle Collection","","no_jp_set_logo_mapping"
"POKEMON","ja","MP1: Start Deck 100 Battle Collection CoroCiao Version","MP1","no_jp_set_logo_mapping"
"POKEMON","ja","Japanese CD Promo","","no_jp_set_logo_mapping"
"POKEMON","ja","M-P Promotional Cards","M-P","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","SV10: The Glory of Team Rocket","SV10","no_jp_set_logo_mapping"
"POKEMON","ja","SV10: The Glory of Team Rocket","SV10","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","SV9a: Heat Wave Arena","SV9a","no_jp_set_logo_mapping"
"POKEMON","ja","SV9a: Heat Wave Arena","SV9a","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","SV: ex Starter Set Marnie's Morpeko & Grimmsnarl ex","SVOM","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","SV: ex Starter Set Steven's Beldum & Metagross ex","SVOD","no_jp_set_logo_mapping"
"POKEMON","ja","SV: ex Starter Set Marnie's Morpeko & Grimmsnarl ex","SVOM","no_jp_set_logo_mapping"
"POKEMON","ja","SV: ex Starter Set Steven's Beldum & Metagross ex","SVOD","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","SVN: Battle Partners Deck Build Box","SVN","no_jp_set_logo_mapping"
"POKEMON","ja","SVN: Battle Partners Deck Build Box","SVN","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","SVM: Generations Start Decks","","no_jp_set_logo_mapping"
"POKEMON","ja","SVM: Generations Start Decks","","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","SV-P Promotional Cards","SV-P","no_jp_set_logo_mapping"
"POKEMON","ja","SV-P Promotional Cards","SV-P","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","SV: Ceruledge ex Stellar Tera Type Starter Set","svL","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","SV: Sylveon ex Stellar Tera Type Starter Set","svLN","no_jp_set_logo_mapping"
"POKEMON","ja","SV: Ceruledge ex Stellar Tera Type Starter Set","svL","no_jp_set_logo_mapping"
"POKEMON","ja","SV: Sylveon ex Stellar Tera Type Starter Set","svLN","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","Special Box Collections","SBC","no_jp_set_logo_mapping"
"POKEMON","ja","Special Box Collections","SBC","no_jp_set_logo_mapping"
"POKEMON","ja","SV: Stellar Miracle Deck Build Box","svK","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","SV: Terastal Charizard ex Battle Master Deck","svJL","no_jp_set_logo_mapping"
"POKEMON","ja","SV: Chien-Pao ex Battle Master Deck","svJP","no_jp_set_logo_mapping"
"POKEMON","ja","SV: Terastal Charizard ex Battle Master Deck","svJL","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","Battle Academy","svI","no_jp_set_logo_mapping"
"POKEMON","ja","SV: ex Starter Deck & Build Set","svH","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","SV: Ancient Koraidon ex Starter Deck & Build Set","svHK","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","SV: Future Miraidon ex Starter Deck & Build Set","svHM","no_jp_set_logo_mapping"
"POKEMON","ja","SV: Ancient Koraidon ex Starter Deck & Build Set","svHK","no_jp_set_logo_mapping"
"POKEMON","ja","SV: Future Miraidon ex Starter Deck & Build Set","svHM","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","SV: Venusaur, Charizard & Blastoise Special Deck Set","svG","no_jp_set_logo_mapping"
"POKEMON","ja","SV: Venusaur, Charizard & Blastoise Special Deck Set","svG","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","SV: Mewtwo ex Terastal Starter Set","svEM","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","SV: Skeledirge ex Terastal Starter Set","svEL","no_jp_set_logo_mapping"
"POKEMON","ja","SV: Mewtwo ex Terastal Starter Set","svEM","no_jp_set_logo_mapping"
"POKEMON","ja","SV: Skeledirge ex Terastal Starter Set","svEL","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","SV: Ruler of the Black Flame Deck Build Box","svF","no_jp_set_logo_mapping"
"POKEMON","ja","SV: Ruler of the Black Flame Deck Build Box","svF","no_jp_set_logo_mapping"
"POKEMON","ja","WCS23: 2023 World Championships Yokohama Deck: Pikachu","WCS23","no_jp_set_logo_mapping"
"POKEMON","ja","SV2a: Pokemon Card 151","SV2a","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","SV: ex Starter Set Pikachu ex & Pawmot","svC","no_jp_set_logo_mapping"
"POKEMON","ja","SV: ex Starter Set Pikachu ex & Pawmot","svC","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","Triple Starter Deck Set VMAX","","no_jp_set_logo_mapping"
"POKEMON","ja","Triple Starter Deck Set VMAX","","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","Pokemon TCG Classic: Charizard","CLL","no_jp_set_logo_mapping"
"POKEMON","ja","Pokemon TCG Classic: Blastoise","CLV","no_jp_set_logo_mapping"
"POKEMON","ja","Pokemon TCG Classic: Charizard","CLL","no_jp_set_logo_mapping"
"POKEMON","ja","Pokemon TCG Classic: Venusaur","CLF","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","SV: ex Starter Set Fuecoco & Ampharos ex","svAW","no_jp_set_logo_mapping"
